title,album,artist,id,url
Stay High,Stay High,"Diplo, HUGEL, Julia Church",7LXimIqTYO76Utly8VFABu,https://open.spotify.com/track/7LXimIqTYO76Utly8VFABu
Surrender To The Feeling,Surrender To The Feeling,ayokay,4k0N1HHajVqshJQGkS9YWk,https://open.spotify.com/track/4k0N1HHajVqshJQGkS9YWk
Syren,Genesys,"Anyma, Rebūke",3hGXZKj3lYKKRQtKE8XN55,https://open.spotify.com/track/3hGXZKj3lYKKRQtKE8XN55
Syren,Syren,"Anyma, Rebūke",7nj50KCxnSOUGNOvLP0gEn,https://open.spotify.com/track/7nj50KCxnSOUGNOvLP0gEn
Thank You (Not So Bad),Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",09CnYHiZ5jGT1wr1TXJ9Zt,https://open.spotify.com/track/09CnYHiZ5jGT1wr1TXJ9Zt
The Last Time,The Last Time,Chris Avantgarde,05viSJk3lY45GOieqQqLgl,https://open.spotify.com/track/05viSJk3lY45GOieqQqLgl
The One - Reznik & Mikesh Remix,The One (Reznik & Mikesh Remix),"lovetempo, Reznik, good guy mikesh, Mikesh",6NjOlAhbzYpS4CmIvR3lSE,https://open.spotify.com/track/6NjOlAhbzYpS4CmIvR3lSE
Time’s a Fantasy (feat. Jeff Bhasker) - Anyma Remix,Time’s a Fantasy (feat. Jeff Bhasker) - Anyma Remix,"Portugal. The Man, Jeff Bhasker, Anyma",51VlMC9AnJQmZqnAZQjfp5,https://open.spotify.com/track/51VlMC9AnJQmZqnAZQjfp5
Truth,Truth,NERO,7qcXHzBV1xzxa4eG9mBzQE,https://open.spotify.com/track/7qcXHzBV1xzxa4eG9mBzQE
Waking Up At Midnight,My Dreams,Aaron Shirk,4ZcYkOxDQPMzBRRzauD2YI,https://open.spotify.com/track/4ZcYkOxDQPMzBRRzauD2YI
Where You Are - Zedd Remix,Where You Are (Zedd Remix),"John Summit, Hayla, Zedd",6hI3PnULFXwkOQSHLHNfOO,https://open.spotify.com/track/6hI3PnULFXwkOQSHLHNfOO
You & Me - Rivo Remix,You & Me (Rivo Remix),"Disclosure, Eliza Doolittle, Rivo",0xoYZ45fgTfyQYREZPN7Sa,https://open.spotify.com/track/0xoYZ45fgTfyQYREZPN7Sa
Zombie (feat. Valerie Broussard),Zombie (feat. Valerie Broussard),"ILLENIUM, Excision, Wooli, Valerie Broussard",5AZJbQwaYGHWCY53k7fO57,https://open.spotify.com/track/5AZJbQwaYGHWCY53k7fO57
how2fly,kidsgonemad!,ISOxo,2fga4JgHuq91W9HiTfo9GC,https://open.spotify.com/track/2fga4JgHuq91W9HiTfo9GC
